work_year,experience_level,salary_in_usd,country,experience_level
2022,EN,100000,Algeria,"Entry-level / Junior"
2021,EN,18053,"American Samoa","Entry-level / Junior"
2022,EN,150000,Australia,"Entry-level / Junior"
2022,EN,86703,Australia,"Entry-level / Junior"
2022,MI,87425,Australia,"Mid-level / Intermediate"
2022,MI,64849,Austria,"Mid-level / Intermediate"
2021,MI,61467,Austria,"Mid-level / Intermediate"
2020,SE,91237,Austria,"Senior-level / Expert"
2020,MI,74130,Austria,"Mid-level / Intermediate"
2021,MI,88654,Belgium,"Mid-level / Intermediate"
2021,SE,82744,Belgium,"Senior-level / Expert"
2021,SE,18907,Brazil,"Senior-level / Expert"
2021,MI,12901,Brazil,"Mid-level / Intermediate"
2021,SE,24000,Brazil,"Senior-level / Expert"
2022,EN,52000,Canada,"Entry-level / Junior"
2022,EN,67000,Canada,"Entry-level / Junior"
2022,MI,75000,Canada,"Mid-level / Intermediate"
2022,MI,85000,Canada,"Mid-level / Intermediate"
2022,MI,69336,Canada,"Mid-level / Intermediate"
2022,MI,70912,Canada,"Mid-level / Intermediate"
2022,EN,52396,Canada,"Entry-level / Junior"
2022,SE,78791,Canada,"Senior-level / Expert"
2022,MI,75000,Canada,"Mid-level / Intermediate"
2022,EX,196979,Canada,"Executive-level / Director"
2022,MI,78791,Canada,"Mid-level / Intermediate"
2022,EX,118187,Canada,"Executive-level / Director"
2022,SE,61300,Canada,"Senior-level / Expert"
2022,SE,130000,Canada,"Senior-level / Expert"
2022,SE,61300,Canada,"Senior-level / Expert"
2022,SE,130000,Canada,"Senior-level / Expert"
2022,SE,90700,Canada,"Senior-level / Expert"
2022,SE,192400,Canada,"Senior-level / Expert"
2021,SE,99703,Canada,"Senior-level / Expert"
2021,SE,103691,Canada,"Senior-level / Expert"
2021,MI,63810,Canada,"Mid-level / Intermediate"
2021,SE,71786,Canada,"Senior-level / Expert"
2021,SE,87738,Canada,"Senior-level / Expert"
2021,SE,225000,Canada,"Senior-level / Expert"
2021,SE,96113,Canada,"Senior-level / Expert"
2021,SE,127221,Canada,"Senior-level / Expert"
2021,MI,75774,Canada,"Mid-level / Intermediate"
2021,MI,187442,Canada,"Mid-level / Intermediate"
2021,MI,54238,Canada,"Mid-level / Intermediate"
2020,SE,117104,Canada,"Senior-level / Expert"
2021,MI,40038,Chile,"Mid-level / Intermediate"
2021,EN,100000,China,"Entry-level / Junior"
2020,MI,43331,China,"Mid-level / Intermediate"
2021,EN,21844,Colombia,"Entry-level / Junior"
2020,SE,45618,Croatia,"Senior-level / Expert"
2022,EN,31875,"Czech Republic","Entry-level / Junior"
2021,MI,69999,"Czech Republic","Mid-level / Intermediate"
2021,EN,28609,Denmark,"Entry-level / Junior"
2021,SE,88654,Denmark,"Senior-level / Expert"
2020,EN,45896,Denmark,"Entry-level / Junior"
2022,MI,32974,Estonia,"Mid-level / Intermediate"
2022,MI,68147,France,"Mid-level / Intermediate"
2022,SE,93427,France,"Senior-level / Expert"
2021,SE,77684,France,"Senior-level / Expert"
2021,EN,36643,France,"Entry-level / Junior"
2021,MI,56738,France,"Mid-level / Intermediate"
2021,SE,152000,France,"Senior-level / Expert"
2021,MI,62649,France,"Mid-level / Intermediate"
2021,EN,49646,France,"Entry-level / Junior"
2021,EN,59102,France,"Entry-level / Junior"
2021,SE,53192,France,"Senior-level / Expert"
2020,MI,42197,France,"Mid-level / Intermediate"
2020,MI,70139,France,"Mid-level / Intermediate"
2020,MI,46759,France,"Mid-level / Intermediate"
2020,EN,39916,France,"Entry-level / Junior"
2020,EN,51321,France,"Entry-level / Junior"
2022,EN,58035,Germany,"Entry-level / Junior"
2022,SE,162674,Germany,"Senior-level / Expert"
2022,MI,54957,Germany,"Mid-level / Intermediate"
2022,SE,87932,Germany,"Senior-level / Expert"
2022,MI,87932,Germany,"Mid-level / Intermediate"
2021,EN,85000,Germany,"Entry-level / Junior"
2021,EN,76833,Germany,"Entry-level / Junior"
2021,EN,65013,Germany,"Entry-level / Junior"
2021,MI,25532,Germany,"Mid-level / Intermediate"
2021,SE,63831,Germany,"Senior-level / Expert"
2021,EX,141846,Germany,"Executive-level / Director"
2021,SE,173762,Germany,"Senior-level / Expert"
2021,MI,88654,Germany,"Mid-level / Intermediate"
2021,MI,90734,Germany,"Mid-level / Intermediate"
2021,EN,24823,Germany,"Entry-level / Junior"
2021,MI,90734,Germany,"Mid-level / Intermediate"
2021,EX,130026,Germany,"Executive-level / Director"
2021,EN,63831,Germany,"Entry-level / Junior"
2021,SE,94564,Germany,"Senior-level / Expert"
2021,EN,76833,Germany,"Entry-level / Junior"
2021,SE,79197,Germany,"Senior-level / Expert"
2020,EN,49268,Germany,"Entry-level / Junior"
2020,EN,62726,Germany,"Entry-level / Junior"
2020,SE,148261,Germany,"Senior-level / Expert"
2020,EN,54742,Germany,"Entry-level / Junior"
2020,EN,15966,Germany,"Entry-level / Junior"
2020,MI,59303,Germany,"Mid-level / Intermediate"
2020,MI,79833,Germany,"Mid-level / Intermediate"
2022,MI,20000,Greece,"Mid-level / Intermediate"
2022,MI,76940,Greece,"Mid-level / Intermediate"
2022,MI,32974,Greece,"Mid-level / Intermediate"
2022,MI,43966,Greece,"Mid-level / Intermediate"
2022,MI,87932,Greece,"Mid-level / Intermediate"
2022,MI,49461,Greece,"Mid-level / Intermediate"
2022,MI,65949,Greece,"Mid-level / Intermediate"
2022,MI,54957,Greece,"Mid-level / Intermediate"
2022,MI,54957,Greece,"Mid-level / Intermediate"
2021,MI,40189,Greece,"Mid-level / Intermediate"
